propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topPlus,newDevelopmentHighlight,topNewDevelopment,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology,parkingSpace.parkingSpacePrice,newDevelopmentFinished
109061730,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bf/24/75/1366533807.webp,12466,67,3,798000.0,flat,sale,178.0,True,3,3,avenida de Cantabria,Cantabria,Santander,Valdenoja,es,43.4745155,-3.8072615,False,https://www.idealista.com/inmueble/109061730/,1374,"Exclusiva vivienda de diseño con terrazas y piscina en edificio contemporáneo,   Ubicada en la tercera planta de un moderno edificio construido en 2005, esta espectacular vivienda de 162 m2 destaca por su elegante diseño, espacios amplios y una luz natural excepcional. Lista para entrar a vivir, cuenta con tres dormitorios dobles, siendo el principal una suite con baño privado y acceso a una terraza íntima, perfecta para momentos de relax o desayunos al sol: un espacio romántico y lleno de encanto. La cocina, de líneas modernas, una práctica zona de lavandería independiente, con su propia terraza exterior, ideal para un uso funcional y discreto. La vivienda dispone de dos baños completos en total. Además, la propiedad ofrece tres terrazas tipo azotea que suman 53 m², orientadas a diferentes ambientes para disfrutar del aire libre, el sol y la privacidad. Incluye dos cómodas plazas de garaje y dos trasteros, lo que garantiza un extra de almacenamiento y funcionalidad. El edificio dispone de piscina comunitaria, zonas comunes muy cuidadas y un entorno residencial tranquilo y exclusivo.   Una oportunidad única para quienes buscan estilo, confort y calidad de vida en un entorno moderno y bien ubicado. Mikeli Luxury Real Estate la mayor y más selecta cartera inmobiliaria de Cantabria. MÁS INMUEBLES EN LA ZONA. Contacte con su asesor. **Precio sujeto a cambios o retirada sin previo aviso. La información es orientativa. El precio no incluye impuestos ni gastos de compraventa. Para una información más detallada y ajustada, nuestro departamento de economía y finanzas está dispuesto a informarle.  Inmueble en exclusiva. Para más información, contacte con la agencia. Se ruega no molestar a propietarios u ocupantes. **.",True,good,False,True,4483.0,True,True,False,False,[],False,False,False,798000.0,€,True,True,flat,"Valdenoja, Santander",Piso en avenida de Cantabria,Top,,,,,,
110420914,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8f/8e/2c/1404616751.webp,PV_ED_1081,29,bj,595000.0,flat,sale,173.0,,4,2,calle Lealtad,Cantabria,Santander,Centro - Ayuntamiento,es,43.4623408,-3.8092465,False,https://www.idealista.com/inmueble/110420914/,52,"En el centro de la ciudad, junto a la Catedral, en edificio emblemático, ponemos a la venta este espectacular piso de 173 m2 construidos, distribuido en 4 habitaciones, salón, comedor, cocina, baño y aseo, con vistas a la Catedral y Calle Lealtad, Orientación Este-Sur. El piso guarda el encanto de la burguesía santanderina, planta principal (antiguamente se denominaba que los principales eran para la alta sociedad), zona tranquila puesto que su orientación da a la plaza de la Catedral que tiene acceso restringido para vehículos y la Calle Lealtad que es peatonal y comercial. La ventajas de vivir en el centro se lo ponemos a su alcance. Soleado y muy luminoso. No pierdan esta ocasión.",True,good,False,True,3439.0,True,True,False,False,[],False,False,False,595000.0,€,,,flat,"Centro - Ayuntamiento, Santander",Piso en calle Lealtad,Top,,,,,,
110485053,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dc/c1/4d/1406334818.webp,PV_OD_1659_1,23,4,598000.0,flat,sale,107.0,True,4,2,calle Juan de Herrera,Cantabria,Santander,Centro - Ayuntamiento,es,43.4603982,-3.8066961,False,https://www.idealista.com/inmueble/110485053/,334,"En la famosa calle peatonal y comercial  Juan de Herrera, junto al Ayuntamiento de Santander, ponemos a la venta este majestuoso piso de 107 m2 construidos, con orientación Sur, como podrán apreciar en las fotos, es un piso soleado y luminoso, distribuido en 4 habitaciones, gran salón comedor, cocina office, 1 baño y 1 aseo, cuenta con ascensor, calefacción y servicio de portero. Ponemos a su alcance una calidad de vida sin igual .",True,good,False,True,5589.0,True,True,False,False,[],False,False,False,598000.0,€,,,flat,"Centro - Ayuntamiento, Santander",Piso en calle Juan de Herrera,Top,,,,,,
110558235,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/79/1f/56/1408591590.webp,234651,24,1,230000.0,flat,sale,107.0,True,4,2,calle Marqués de la Hermida,Cantabria,Santander,Castilla - Hermida,es,43.4520067,-3.8214771,False,https://www.idealista.com/inmueble/110558235/,1477,"Inmobiliaria donpiso presenta en EXCLUSIVA esta magnífica vivienda amplia y muy bien distribuida, pensada para quienes buscan espacio, comodidad y una excelente ubicación.  La propiedad dispone de cuatro dormitorios, perfectos tanto para familias numerosas como para quienes necesitan despacho o zona de estudio, además de dos baños completos que aportan funcionalidad al día a día. Un espacioso vestíbulo nos da la bienvenida y un amplio y cómodo pasillo distribuye las habitaciones El salón, amplio y luminoso, se convierte en el corazón de la vivienda, un espacio acogedor ideal para reuniones familiares y momentos de descanso.  El edificio cuenta con ascensor, garantizando comodidad y accesibilidad para todas las edades. Situada en una zona estratégica, la vivienda se encuentra junto al Parque de La Marga, un entorno verde perfecto para pasear, hacer deporte o disfrutar del aire libre, y a tan solo 10 minutos del Hospital Universitario Marqués de Valdecilla, con excelente comunicación y todos los servicios necesarios a pocos pasos: comercios, colegios, transporte público y zonas de ocio. Una oportunidad única para disfrutar de una vivienda espaciosa en una ubicación inmejorable, combinando tranquilidad, servicios y calidad de vida. Agencia Inmobiliaria desde 1984 Personas al servicio de las personas. Esto es donpiso, profesionales bien preparados, con experiencia y formación suficiente para ofrecerle un servicio de alta calidad y máxima efectividad a la hora de vender o comprar su vivienda. Más de 30 años de trayectoria empresarial ininterrumpida. Una importante red de oficinas en progresivo crecimiento en las principales ciudades del país, posicionándonos como la red inmobiliaria más importante del país, con mayor volumen de ventas y con los mejores índices de satisfacción. Hemos conseguido arraigar en nuestros profesionales la filosofía básica que ha marcado nuestra historia desde sus orígenes: el respeto hacia nuestros clientes, la seriedad y honradez en nuestras actividades y la voluntad y el compromiso de servir eficazmente. Las credenciales de donpiso son los miles de clientes que han vendido, comprado o alquilado su vivienda con nosotros de manera satisfactoria; este es nuestro mejor aval. Esta es nuestra fuerza. ( El PVP indicado no incluye impuestos ni gastos de Escritura ).  PARA PROPIETARIOS:  ¿Necesitas vender para comprar? te ayudamos coordinándolo todo y con hipoteca cambio de casa. ¿Tienes prisa en vender? te ofrecemos una venta rápida con todas las garantías. ¿Necesitas una hipoteca? en donpiso la encuentras y en condiciones preferentes. ¿Herencias?, ¿Divorcios?, te ayudamos y coordinamos todo. Infórmate:.",True,good,False,True,2150.0,True,True,False,False,[],False,False,False,230000.0,€,,,flat,"Castilla - Hermida, Santander",Piso en calle Marqués de la Hermida,Top,240000.0,10000.0,4.0,,,
109848839,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/09/5d/5f/1407022381.webp,298454,26,2,369000.0,flat,sale,138.0,True,3,2,calle Juan José Pérez del Molino,Cantabria,Santander,General Dávila,es,43.4643722,-3.8187834,False,https://www.idealista.com/inmueble/109848839/,753,"Piso en venta en zona General Dávila, Santander Inmobiliaria donpiso les ofrece en EXCLUSIVA este estupendo piso situado en una de las zonas más demandadas de Santander,cerca de General Dávila, una ubicación tranquila, bien comunicada y próxima a todos los servicios. La vivienda se distribuye en: Tres amplias habitaciones, ideales para familias o quienes buscan espacio y comodidad. Luminoso salón con acceso directo a una terraza soleada, perfecta para disfrutar del aire libre y de las maravillosas vistas despejadas de la ciudad. Cocina independiente con zona de comedor, espaciosa y práctica para el día a día. Dos amplios baños completos: uno equipado con bañera, con ventana al exterior y otro con plato de ducha, para mayor confort y funcionalidad. El piso destaca por su gran luminosidad y su orientación soleada, que le aporta calidez durante todo el año. Cuenta con calefacción central, garantizando bienestar en los meses más fríos. Desde el salón y una de las habitaciones se accede a la terraza, desde donde se pueden disfrutar vistas excepcionales. Una vivienda amplia, confortable y muy luminosa, situada en una excelente zona de Santander. Completa la vivienda una plaza de garaje  ¡No dejes pasar esta oportunidad! Contacta con nosotros para más información o para concertar una visita. Agencia Inmobiliaria desde 1984 Personas al servicio de las personas. Esto es donpiso, profesionales bien preparados, con experiencia y formación suficiente para ofrecerle un servicio de alta calidad y máxima efectividad a la hora de vender o comprar su vivienda. Más de 30 años de trayectoria empresarial ininterrumpida. Una importante red de oficinas en progresivo crecimiento en las principales ciudades del país, posicionándonos como la red inmobiliaria más importante del país, con mayor volumen de ventas y con los mejores índices de satisfacción. Hemos conseguido arraigar en nuestros profesionales la filosofía básica que ha marcado nuestra historia desde sus orígenes: el respeto hacia nuestros clientes, la seriedad y honradez en nuestras actividades y la voluntad y el compromiso de servir eficazmente. Las credenciales de donpiso son los miles de clientes que han vendido, comprado o alquilado su vivienda con nosotros de manera satisfactoria; este es nuestro mejor aval. Esta es nuestra fuerza. ( El PVP indicado no incluye impuestos ni gastos de Escritura ).  PARA PROPIETARIOS:  ¿Necesitas vender para comprar? te ayudamos coordinándolo todo y con hipoteca cambio de casa. ¿Tienes prisa en vender? te ofrecemos una venta rápida con todas las garantías. ¿Necesitas una hipoteca? en donpiso la encuentras y en condiciones preferentes. ¿Herencias?, ¿Divorcios?, te ayudamos y coordinamos todo. Infórmate:.",True,good,False,True,2674.0,False,True,False,False,[],False,False,False,369000.0,€,,,flat,"General Dávila, Santander",Piso en calle Juan José Pérez del Molino,Top,385000.0,16000.0,4.0,,,
110945451,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/93/8b/f5/1420458332.webp,301576,24,7,305000.0,flat,sale,89.0,True,3,1,calle Marqués de la Hermida,Cantabria,Santander,Castilla - Hermida,es,43.4532734,-3.8168994,False,https://www.idealista.com/inmueble/110945451/,1151,"Inmobiliaria donpiso les ofrece en EXCLUSIVA esta luminosa vivienda ubicada en zona llana a 10 minutos del centro El inmueble dispone de tres amplias habitaciones, salón, cocina independiente y baño, con una distribución funcional que permite aprovechar al máximo los espacios. Su séptima planta y su orientación Sur aportan una agradable sensación de amplitud y luminosidad en todas las estancias. La vivienda se encuentra en zona completamente llana, muy cómoda para el día a día, y a tan solo 10 minutos caminando del centro, con fácil acceso a todos los servicios: comercios, transporte público, centros educativos y zonas de ocio. Distribución y características: 3 habitaciones amplias Salón luminoso que da salida a un balcón Cocina independiente 1 baño El edificio cuenta con portal recientemente actualizado, ascensor a cota cero, puerta automática y acceso sin barreras arquitectónicas, lo que garantiza comodidad y accesibilidad para todo tipo de usuarios. Una vivienda con gran potencial para transformar en un espacio único y magníficas vistas, perfecta para quienes buscan crear su propio hogar desde cero en una buena ubicación No dejes pasar esta oportunidad, ven a visitarlo  Agencia Inmobiliaria desde 1984 Personas al servicio de las personas. Esto es donpiso, profesionales bien preparados, con experiencia y formación suficiente para ofrecerle un servicio de alta calidad y máxima efectividad a la hora de vender o comprar su vivienda. Más de 30 años de trayectoria empresarial ininterrumpida. Una importante red de oficinas en progresivo crecimiento en las principales ciudades del país, posicionándonos como la red inmobiliaria más importante del país, con mayor volumen de ventas y con los mejores índices de satisfacción. Hemos conseguido arraigar en nuestros profesionales la filosofía básica que ha marcado nuestra historia desde sus orígenes: el respeto hacia nuestros clientes, la seriedad y honradez en nuestras actividades y la voluntad y el compromiso de servir eficazmente. Las credenciales de donpiso son los miles de clientes que han vendido, comprado o alquilado su vivienda con nosotros de manera satisfactoria; este es nuestro mejor aval. Esta es nuestra fuerza. ( El PVP indicado no incluye impuestos ni gastos de Escritura ).  PARA PROPIETARIOS:  ¿Necesitas vender para comprar? te ayudamos coordinándolo todo y con hipoteca cambio de casa. ¿Tienes prisa en vender? te ofrecemos una venta rápida con todas las garantías. ¿Necesitas una hipoteca? en donpiso la encuentras y en condiciones preferentes. ¿Herencias?, ¿Divorcios?, te ayudamos y coordinamos todo. Infórmate:.",True,renew,False,True,3427.0,True,False,False,False,[],False,False,False,305000.0,€,,,flat,"Castilla - Hermida, Santander",Piso en calle Marqués de la Hermida,Top,,,,,,
109891877,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c2/19/a4/1413245991.webp,19806,25,1,370000.0,flat,sale,104.0,True,4,2,calle Francisco Cubría,Cantabria,Santander,Numancia - San Fernando,es,43.4604353,-3.8192411,False,https://www.idealista.com/inmueble/109891877/,781,"AMPLITUD, COMODIDAD Y UBICACIÓN PERFECTA ¿Buscas una vivienda amplia, luminosa y lista para entrar a vivir en Santander? Este piso situado en la calle Francisco Cubría reúne todo lo que muchas familias desean y pocas veces encuentran: 112 metros cuadrados, cuatro habitaciones, dos baños completos y un espacio cuidado al detalle, pensado para disfrutar desde el primer día. La vivienda se encuentra en un edificio con el portal reformado y ascensor, lo que añade comodidad y valor al conjunto. Al entrar, te recibe una distribución práctica y equilibrada, con un amplio salón que invita a relajarse y disfrutar de los momentos en familia o con amigos. Desde aquí, y también desde la cocina, disfrutarás de vistas a la calle principal, lo que aporta una agradable sensación de vida y luz natural.  La vivienda cuenta con cuatro habitaciones, algo poco común en la actualidad. Cuatro espacios amplios, versátiles y llenos de posibilidades: dormitorios para toda la familia, despacho, cuarto de juegos o incluso un vestidor. Sea cual sea tu estilo de vida, aquí hay espacio para todo. La cocina está pensada para hacerte la vida más fácil: funcional, con espacio suficiente para comer a diario y con la posibilidad de convertirse en el corazón de la casa, ese lugar donde empiezan las conversaciones y los buenos momentos. Los dos baños completos, ambos con plato de ducha, ofrecen funcionalidad y confort en tu día a día. Todo el piso está en perfecto estado, listo para entrar a vivir sin necesidad de reformas. Un hogar cuidado, práctico y con ese toque acogedor que hace que te imagines viviendo aquí desde el primer momento. Además de sus excelentes características, este piso destaca por su ubicación privilegiada. La zona de Francisco Cubría es una de las más cómodas de Santander, con todos los servicios a pie de calle: super-mercados, colegios, transporte público y zonas verdes donde pasear o practicar deporte. Además, su excelente comunicación con el centro hace que vivas con tranquilidad, pero sin renunciar a la cercanía de todo lo que necesitas. Vivir aquí es disfrutar de la comodidad urbana sin renunciar a la calma. Una vivienda pensada para familias que valoran el espacio, la luz y una buena ubicación. Perfecto para quienes buscan calidad de vida en una de las zonas más consolidadas de la ciudad. En definitiva, un piso con alma de hogar, amplio, luminoso y con todo lo que necesitas para empezar una nueva etapa en Santander.",True,good,False,True,3558.0,True,False,True,False,[],False,False,False,370000.0,€,,,flat,"Numancia - San Fernando, Santander",Piso en calle Francisco Cubría,Top,,,,,,
110265300,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7d/76/cf/1400176679.webp,010206,38,3,395000.0,flat,sale,72.0,True,2,2,calle Justicia,Cantabria,Santander,Cuatro Caminos,es,43.4557486,-3.8209403,False,https://www.idealista.com/inmueble/110265300/,1150,"Inmobiliaria PAS Nuevopiso pone a tu disposición esta vivienda exterior, cálida y lista para entrar a vivir. Con 2 dormitorios, uno de ellos con baño en suite, cocina, gran entrada con armario empotrado, baño y salón en esquina con vistas a la Bahia de Santander, orientación Sur y Este, que junto a la altura del piso permite una gran luminosidad durante todo el día, todo ello en un edificio actual y a escasos minutos del centro de Santander.    Se caracteriza por la gran comodidad en todos los ámbitos, desde tener amplia plaza de garaje, comunicada directamente con la vivienda a través del ascensor, con su trastero pegado a ella para mayor comodidad, hasta estar situada en una zona muy cómoda en todos los servicios, comunicada con el autobús, a pocos metros del ascensor que te conecta con la zona de Castilla-Hermida. Ideal tanto para familias como para inversión. No dejes escapar la oportunidad de conocer tu próximo hogar.    Solicita tu cita en Inmobiliaria PAS Nuevopiso por teléfono o whatsapp en el número o si lo prefieres, pásate por nuestras oficinas en c/Jesús de monasterio nº 1, frente al Ayuntamiento de Santander.    El precio de venta no incluye impuestos, gastos de notaria y registro, ni el 2% más IVA de honorarios de la agencia.    Visita nuestra web pinchando en el logo.",False,good,False,True,5486.0,True,False,True,False,[],False,False,False,395000.0,€,True,True,flat,"Cuatro Caminos, Santander",Piso en calle Justicia,Top,,,,,,
110624892,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2c/f4/70/1410535273.webp,sv1421,30,1,200000.0,flat,sale,68.0,True,2,1,calle Cardenal Cisneros,Cantabria,Santander,Numancia - San Fernando,es,43.4634199,-3.8194653,False,https://www.idealista.com/inmueble/110624892/,781,"Se vende piso en Calle Cardenal Cisneros, Santander, en muy buen estado y listo para entrar a vivir. La vivienda se encuentra cuidada y no necesita reformas, por lo que es una opción práctica tanto para vivienda habitual como para inversión. Dispone de dos habitaciones, ambas de buen tamaño, que se quedan amuebladas con cama y armarios empotrados, lo que facilita la mudanza y aporta buena capacidad de almacenaje desde el primer momento. Cuenta con un baño completo con ducha, funcional y bien distribuido. El salón es amplio y luminoso, con espacio suficiente para diferenciar zona de estar y comedor, resultando cómodo para el día a día. La cocina es independiente y tiene salida a una terraza orientada a patio de manzana, un espacio tranquilo y práctico que puede utilizarse como zona de desahogo o apoyo. Todas las ventanas son de PVC, lo que proporciona un buen aislamiento térmico y acústico, mejorando el confort de la vivienda. La ubicación es uno de sus puntos fuertes: situada en Calle Cardenal Cisneros, cuenta con paradas de autobús, supermercados, comercios y servicios a pocos minutos, lo que permite moverse con comodidad y tener todo a mano. Se trata de un primer piso sin ascensor. Una vivienda funcional, bien ubicada y lista para entrar a vivir.",False,good,False,False,2941.0,True,True,True,False,[],False,False,False,200000.0,€,,,flat,"Numancia - San Fernando, Santander",Piso en calle Cardenal Cisneros,Top,205000.0,5000.0,2.0,,,
109634121,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/eb/6e/59/1380779543.webp,ISV1007,47,4,695000.0,duplex,sale,176.0,True,4,3,AV CANTABRIA,Cantabria,Santander,Valdenoja,es,43.4768354,-3.8038326,False,https://www.idealista.com/inmueble/109634121/,1688,"DÚPLEX CON VISTAS, TERRAZA, 4 HAB Y 3 PLAZA DE GARAJE Vivir en esta urbanización en Santander es un auténtico lujo. No solo por lo que ofrece, sino por lo que se siente al estar allí. Construida en 2008 y ubicada en Avenida de Cantabria es una de esas comunidades donde todo está pensado para disfrutar, amplios jardines, piscina, pista de pádel y parque infantil. Un entorno cuidado, tranquilo y muy familiar, a un paso de todo, pero con la sensación de estar lejos del ruido. Y si hablamos de ubicación, difícilmente podrías pedir más, la Segunda Playa del Sardinero está a solo 1,6 km, un agradable paseo que te lleva directamente a la playa Este dúplex, con 176 m² repartidos en dos plantas, es una vivienda que enamora por su luz, su amplitud y sus vistas. Dispone de cuatro habitaciones, tres baños completos, salón comedor, cocina independiente y dos terrazas. Su orientación principal, noreste, ofrece vistas directas al Sardinero y al mar, con la Isla de Mouro en primer plano y la Segunda Playa del Sardinero al fondo. Hacia la izquierda se distingue Mataleñas y Cabo Mayor, un paisaje que cambia de color con cada hora del día. La orientación suroeste mira hacia el interior de la urbanización, con vistas al jardín y la piscina, llenando las estancias de luz y calidez por la tarde. La vivienda disfruta de luz natural en todas sus estancias, incluidos los baños. Esa claridad constante crea una sensación de bienestar que se percibe nada más entrar. Además, cuenta con calefacción, ascensor, tres plazas de garaje y trastero, porque la calidad de vida también se mide en los pequeños detalles. En la planta principal se encuentra la zona de día, con un salón comedor amplio y acogedor, pensado para disfrutar de la luz y las vistas. La cocina, independiente y funcional, está diseñada para el día a día con un estilo práctico. En esta misma planta hay un baño completo, una habitación con vestidor y otra habitación con salida directa a una terraza, desde donde las vistas al mar y al Sardinero son, sencillamente, espectaculares. La escalera de cristal conecta con la planta superior, donde la amplitud se hace protagonista. Dos habitaciones enormes se reparten el espacio, la principal, con baño en suite, y otra con una terraza amplia e íntima, perfecta para disfrutar del sol de la tarde,donde las vistas son incluso mejores que desde la terraza de la planta baja. También hay otro baño completo, y ambas habitaciones cuentan con armarios empotrados. Este dúplex no es una vivienda más. Es un hogar hecho para disfrutar del mar, de la luz y del espacio. Un lugar donde cada ventana tiene una vista distinta y cada estancia transmite calma. Una vivienda realmente especial, en una urbanización única en Santander, donde la exclusividad se mezcla con la sensación de hogar. El precio de venta no incluye impuestos propios de la transmisión, gastos de Notaría, Registro, ni cualquier otro que según Ley pueda corresponder al comprador.",True,good,False,True,3949.0,True,False,True,False,[],False,False,False,695000.0,€,True,True,flat,"Valdenoja, Santander",Dúplex en Av Cantabria,Top,,,,duplex,,
